Number,Title,Color,Fit Type,Waist Line,Length,Fabric,Pattern,Sleeve Type,Neckline,Chest Pad,Lining,Pocket,Occasion,Clothing Detail,Pant Leg Style,Image URL,Product URL
1,Knit Wool-blend V-neck Sea Animal Toggle Button Oversized Cardigan,Navy,Oversized,,,94% Polyester 6% Wool,,,V-neck,,,,Daily Casual,Button,,https://img1.shopcider.com/product/1757666839000-5ntWdf.jpg,https://www.shopcider.com/goods/knit-v-neck-sea-animal-togle-button-oversized-cardigan-114904654?style_id=2203315&gaListId=12&gaListName=Cardigans&ciderListId=2&ciderListName=Cardigans&selectSkuIndex=0&moduleTitle=1&p=114904654&shopPage=16&shopIndex=0&navTitle=Cardigans&navId=12&listSort=&listId=625&listAttribute=&operationContent=Cardigans&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fcardigans-cid-625&operationpageTitle=%2Fcategory%2Ftanks&vests-cid-130007=&operationPosition=2-2-0-1&operationType=category&productPosition=1&strategyNameList=reco_req_time%3A1763035392653-all_user_exp%3Aexp-collectionId%3A625%3AControl&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4iuWNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjYyNSwibGlzdFRpdGxlIjoiQ2FyZGlnYW5zIiwibGlzdFR5cGUiOjIsIm1vZHVsZUlkIjozLCJtb2R1bGVUeXBlIjoiQlNfSE9UX1JFQ0FMTCxDT0xMRUNUSU9OX1BJTl9UT1AsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQ0LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzU5ODk3NzU4MDAwLWtHUVhOaS5qcGciLCJzcHUiOjExNDkwNDY1NCwic3B1Q29kZSI6IkNEMjAyNTA3MDI2MjcwOTFDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDg5MjQyNS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDo2MjU6Q29udHJvbCIsInRyYWNraW5nSWQiOiIzZDhlNmJiNC03MmZlLTRhY2QtYmRjOC1kYzMzNTk2NWM4ZDQifQ%3D%3D&listType=2&listTitle=Cardigans
2,Cable Knit Hooded Long Sleeve Cardigan,Navy,Regular,,,49% Viscose 30% Polyester 21% Polyamide,Solid,,Hooded,,,,Daily Casual,Button,,https://img1.shopcider.com/product/1755089904000-dNBQ8w.jpg,https://www.shopcider.com/goods/cable-knit-hooded-long-sleeve-cardigan-114818639?style_id=2192934&gaListId=12&gaListName=Cardigans&ciderListId=2&ciderListName=Cardigans&selectSkuIndex=0&moduleTitle=1&p=114818639&shopPage=16&shopIndex=1&navTitle=Cardigans&navId=12&listSort=&listId=625&listAttribute=&operationContent=Cardigans&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fcardigans-cid-625&operationpageTitle=%2Fcategory%2Ftanks&vests-cid-130007=&operationPosition=2-2-0-1&operationType=category&productPosition=2&strategyNameList=reco_req_time%3A1763035392653-all_user_exp%3Aexp-collectionId%3A625%3AControl&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjYyNSwibGlzdFRpdGxlIjoiQ2FyZGlnYW5zIiwibGlzdFR5cGUiOjIsIm1vZHVsZUlkIjozLCJtb2R1bGVUeXBlIjoiQlNfSE9UX1JFQ0FMTCxDT0xMRUNUSU9OX1BJTl9UT1AsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQ0LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzU1MDg5OTA0MDAwLWROQlE4dy5qcGciLCJzcHUiOjExNDgxODYzOSwic3B1Q29kZSI6IkNEMjAyNTA2MTk2MjQ1MzFDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDg5MjQyNS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDo2MjU6Q29udHJvbCIsInRyYWNraW5nSWQiOiIzZDhlNmJiNC03MmZlLTRhY2QtYmRjOC1kYzMzNTk2NWM4ZDQifQ%3D%3D&listType=2&listTitle=Cardigans
3,Knit Round Neckline Button Cardigan,Green,Regular,,,100% Polyester,Solid,,Round Neckline,,,,School Daily Casual Picnic Coffee Shop,Button,,https://img1.shopcider.com/product/1727438315000-tPRcmS.jpg,https://www.shopcider.com/goods/round-neckline-solid-button-cardigan-113887510?style_id=2101741&gaListId=12&gaListName=Cardigans&ciderListId=2&ciderListName=Cardigans&selectSkuIndex=0&moduleTitle=1&p=113887510&shopPage=16&shopIndex=2&navTitle=Cardigans&navId=12&listSort=&listId=625&listAttribute=&operationContent=Cardigans&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fcardigans-cid-625&operationpageTitle=%2Fcategory%2Ftanks&vests-cid-130007=&operationPosition=2-2-0-1&operationType=category&productPosition=3&strategyNameList=reco_req_time%3A1763035392653-all_user_exp%3Aexp-collectionId%3A625%3AControl&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjYyNSwibGlzdFRpdGxlIjoiQ2FyZGlnYW5zIiwibGlzdFR5cGUiOjIsIm1vZHVsZUlkIjozLCJtb2R1bGVUeXBlIjoiQlNfSE9UX1JFQ0FMTCxDT0xMRUNUSU9OX1BJTl9UT1AsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzMxNTAyODkzMDAwLWJTbjZ0Sy5qcGciLCJzcHUiOjExMzg4NzUxMCwic3B1Q29kZSI6IkNEMjAyNDA4MjY1MzgyODVDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDg5MjQyNS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDo2MjU6Q29udHJvbCIsInRyYWNraW5nSWQiOiIzZDhlNmJiNC03MmZlLTRhY2QtYmRjOC1kYzMzNTk2NWM4ZDQifQ%3D%3D&listType=2&listTitle=Cardigans
4,Knit Plaid Round Neck Long Sleeve Ruffle Trim Button Cardigan,Navy,Regular,,,50% Viscose 28% Polyester 22% Polyamide,Solid,,Round Neckline,,,,Daily Casual,Button Pocket Ruffle,,https://img1.shopcider.com/product/1755262056000-Bi7ZrC.jpg,https://www.shopcider.com/goods/knit-plaid-round-neckline-long-sleeve-ruffle-trim-button-cardigan-114818894?style_id=2193142&gaListId=12&gaListName=Cardigans&ciderListId=2&ciderListName=Cardigans&selectSkuIndex=0&moduleTitle=1&p=114818894&shopPage=16&shopIndex=3&navTitle=Cardigans&navId=12&listSort=&listId=625&listAttribute=&operationContent=Cardigans&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fcardigans-cid-625&operationpageTitle=%2Fcategory%2Ftanks&vests-cid-130007=&operationPosition=2-2-0-1&operationType=category&productPosition=4&strategyNameList=reco_req_time%3A1763035392653-all_user_exp%3Aexp-collectionId%3A625%3AControl&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjYyNSwibGlzdFRpdGxlIjoiQ2FyZGlnYW5zIiwibGlzdFR5cGUiOjIsIm1vZHVsZUlkIjozLCJtb2R1bGVUeXBlIjoiQlNfSE9UX1JFQ0FMTCxDT0xMRUNUSU9OX1BJTl9UT1AsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQyLjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzU1MjYyMDU2MDAwLUJpN1pyQy5qcGciLCJzcHUiOjExNDgxODg5NCwic3B1Q29kZSI6IkNEMjAyNTA1MjE2MTgyOTJDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDg5MjQyNS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDo2MjU6Q29udHJvbCIsInRyYWNraW5nSWQiOiIzZDhlNmJiNC03MmZlLTRhY2QtYmRjOC1kYzMzNTk2NWM4ZDQifQ%3D%3D&listType=2&listTitle=Cardigans
5,Knit Round Neckline Long Sleeve Metal Button Cardigan,Grey,Regular,,,57% Polyester 26% Acrylic 14% Polyamide 3% Elastane,Solid,,Round Neckline,,,,Daily Casual,Button,,https://img1.shopcider.com/product/1755176259000-DarXAt.jpg,https://www.shopcider.com/goods/knit-round-neckline-long-sleeve-metal-button-cardigan-114853303?style_id=2197659&gaListId=12&gaListName=Cardigans&ciderListId=2&ciderListName=Cardigans&selectSkuIndex=0&moduleTitle=1&p=114853303&shopPage=16&shopIndex=4&navTitle=Cardigans&navId=12&listSort=&listId=625&listAttribute=&operationContent=Cardigans&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fcardigans-cid-625&operationpageTitle=%2Fcategory%2Ftanks&vests-cid-130007=&operationPosition=2-2-0-1&operationType=category&productPosition=5&strategyNameList=reco_req_time%3A1763035392653-all_user_exp%3Aexp-collectionId%3A625%3AControl&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjYyNSwibGlzdFRpdGxlIjoiQ2FyZGlnYW5zIiwibGlzdFR5cGUiOjIsIm1vZHVsZUlkIjozLCJtb2R1bGVUeXBlIjoiQlNfSE9UX1JFQ0FMTCxDT0xMRUNUSU9OX1BJTl9UT1AsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM0LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzU1MTc2MjU5MDAwLURhclhBdC5qcGciLCJzcHUiOjExNDg1MzMwMywic3B1Q29kZSI6IkNEMjAyNTA2MTg2MjM4NzFDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDg5MjQyNS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDo2MjU6Q29udHJvbCIsInRyYWNraW5nSWQiOiIzZDhlNmJiNC03MmZlLTRhY2QtYmRjOC1kYzMzNTk2NWM4ZDQifQ%3D%3D&listType=2&listTitle=Cardigans
6,Wool-blend Round Neckline Solid Button Knitted Cardigan,Blue,Regular,,,68% Acrylic 12% Polyester 11% nylon 6% Wool 3% spandex,Solid,,Round Neckline,,,,School Daily Casual Work,Button,,https://img.shopcider.com/hermes/video/1762324797000-wbwftr.png,https://www.shopcider.com/goods/wool-blend-round-neckline-solid-button-knitted-cardigan-111645359?style_id=2021724&gaListId=12&gaListName=Cardigans&ciderListId=2&ciderListName=Cardigans&selectSkuIndex=0&moduleTitle=1&p=111645359&shopPage=16&shopIndex=5&navTitle=Cardigans&navId=12&listSort=&listId=625&listAttribute=&operationContent=Cardigans&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fcardigans-cid-625&operationpageTitle=%2Fcategory%2Ftanks&vests-cid-130007=&operationPosition=2-2-0-1&operationType=category&productPosition=6&strategyNameList=reco_req_time%3A1763035392653-all_user_exp%3Aexp-collectionId%3A625%3AControl&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iue6ouS6uuinhumikSIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjYyNSwibGlzdFRpdGxlIjoiQ2FyZGlnYW5zIiwibGlzdFR5cGUiOjIsIm1vZHVsZUlkIjozLCJtb2R1bGVUeXBlIjoiQlNfSE9UX1JFQ0FMTCxDT0xMRUNUSU9OX1BJTl9UT1AsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzMxNDkzNzA1MDAwLWtzM2h4c18zNjAubXA0Iiwic3B1IjoxMTE2NDUzNTksInNwdUNvZGUiOiJDRDIwMjQwNjI2NTAxOTcxQ0ciLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzQ4OTI0MjUtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6NjI1OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiM2Q4ZTZiYjQtNzJmZS00YWNkLWJkYzgtZGMzMzU5NjVjOGQ0In0%3D&listType=2&listTitle=Cardigans
7,Knit Collar Pattern Colorblock Tassel Oversized Cardigan With Belt,multicolor,Oversized,,,42% Acrylic 30% Polyester 28% Polyamide,Solid,,Collar,,,,Vacation,Belted Tassel,,https://img1.shopcider.com/product/1756386180000-GWxAmM.jpg,https://www.shopcider.com/goods/knit-collar-pattern-colorblock-tassel-oversized-cardigan-with-belt-114839503?style_id=2196324&gaListId=12&gaListName=Cardigans&ciderListId=2&ciderListName=Cardigans&selectSkuIndex=0&moduleTitle=1&p=114839503&shopPage=16&shopIndex=6&navTitle=Cardigans&navId=12&listSort=&listId=625&listAttribute=&operationContent=Cardigans&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fcardigans-cid-625&operationpageTitle=%2Fcategory%2Ftanks&vests-cid-130007=&operationPosition=2-2-0-1&operationType=category&productPosition=7&strategyNameList=reco_req_time%3A1763035392653-all_user_exp%3Aexp-collectionId%3A625%3AControl&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjYyNSwibGlzdFRpdGxlIjoiQ2FyZGlnYW5zIiwibGlzdFR5cGUiOjIsIm1vZHVsZUlkIjozLCJtb2R1bGVUeXBlIjoiQlNfSE9UX1JFQ0FMTCxDT0xMRUNUSU9OX1BJTl9UT1AsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjU3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzU2Mzg2MTgwMDAwLUdXeEFtTS5qcGciLCJzcHUiOjExNDgzOTUwMywic3B1Q29kZSI6IkNEMjAyNTA3MTc2MzA4NTBDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDg5MjQyNS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDo2MjU6Q29udHJvbCIsInRyYWNraW5nSWQiOiIzZDhlNmJiNC03MmZlLTRhY2QtYmRjOC1kYzMzNTk2NWM4ZDQifQ%3D%3D&listType=2&listTitle=Cardigans
8,Knit V-neck Striped Tie Front Cardigan,multicolor,Oversized,,,100% Acrylic,Stripes,,V-neck,,,,School,Tie Front,,https://img1.shopcider.com/product/1727086086000-PeyeFC.jpg,https://www.shopcider.com/goods/knit-v-neck-striped-tie-front-cardigan-113891293?style_id=2054965&gaListId=12&gaListName=Cardigans&ciderListId=2&ciderListName=Cardigans&selectSkuIndex=0&moduleTitle=1&p=113891293&shopPage=16&shopIndex=7&navTitle=Cardigans&navId=12&listSort=&listId=625&listAttribute=&operationContent=Cardigans&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fcardigans-cid-625&operationpageTitle=%2Fcategory%2Ftanks&vests-cid-130007=&operationPosition=2-2-0-1&operationType=category&productPosition=8&strategyNameList=reco_req_time%3A1763035392653-all_user_exp%3Aexp-collectionId%3A625%3AControl&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjYyNSwibGlzdFRpdGxlIjoiQ2FyZGlnYW5zIiwibGlzdFR5cGUiOjIsIm1vZHVsZUlkIjozLCJtb2R1bGVUeXBlIjoiQlNfSE9UX1JFQ0FMTCxDT0xMRUNUSU9OX1BJTl9UT1AsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzI3MDg2MDg2MDAwLVBleWVGQy5qcGciLCJzcHUiOjExMzg5MTI5Mywic3B1Q29kZSI6IkNEMjAyNDA4MDU1MjU3MzZDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDg5MjQyNS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDo2MjU6Q29udHJvbCIsInRyYWNraW5nSWQiOiIzZDhlNmJiNC03MmZlLTRhY2QtYmRjOC1kYzMzNTk2NWM4ZDQifQ%3D%3D&listType=2&listTitle=Cardigans
9,Knit Mohair-blend Stand Collar Striped Zip Through Cardigan,multicolor,Regular,,,45% Polyester 45% Polyamide 10% Mohair,Stripes,,Mandarin Collar/Stand Collar,,,,Daily Casual,Pocket Star Zipper,,https://img1.shopcider.com/product/1755842174000-hbyhzE.jpg,https://www.shopcider.com/goods/knit-crochet-stand-collar-striped-zip-through-cardigan-114844651?style_id=2194639&gaListId=12&gaListName=Cardigans&ciderListId=2&ciderListName=Cardigans&selectSkuIndex=0&moduleTitle=1&p=114844651&shopPage=16&shopIndex=8&navTitle=Cardigans&navId=12&listSort=&listId=625&listAttribute=&operationContent=Cardigans&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fcardigans-cid-625&operationpageTitle=%2Fcategory%2Ftanks&vests-cid-130007=&operationPosition=2-2-0-1&operationType=category&productPosition=9&strategyNameList=reco_req_time%3A1763035392653-all_user_exp%3Aexp-collectionId%3A625%3AControl&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjYyNSwibGlzdFRpdGxlIjoiQ2FyZGlnYW5zIiwibGlzdFR5cGUiOjIsIm1vZHVsZUlkIjozLCJtb2R1bGVUeXBlIjoiQlNfSE9UX1JFQ0FMTCxDT0xMRUNUSU9OX1BJTl9UT1AsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQ0LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzU1ODQyMTc0MDAwLWhieWh6RS5qcGciLCJzcHUiOjExNDg0NDY1MSwic3B1Q29kZSI6IkNEMjAyNTA2MzA2MjY2MzFDRyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDg5MjQyNS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDo2MjU6Q29udHJvbCIsInRyYWNraW5nSWQiOiIzZDhlNmJiNC03MmZlLTRhY2QtYmRjOC1kYzMzNTk2NWM4ZDQifQ%3D%3D&listType=2&listTitle=Cardigans
10,Knit Round Neckline Button Cinched Waist Oversized Cardigan,Pink,Oversized,,,49% Viscose 27% Polyester 24% Polyamide,Solid,,Round Neckline,,,,Work,Button,,https://img1.shopcider.com/product/1756472016000-nXpk8R.jpg,https://www.shopcider.com/goods/knit-round-neckline-long-sleeve-button-cinched-waist-cardigan-114861363?style_id=2196777&gaListId=12&gaListName=Cardigans&ciderListId=2&ciderListName=Cardigans&selectSkuIndex=0&moduleTitle=1&p=114861363&shopPage=16&shopIndex=9&navTitle=Cardigans&navId=12&listSort=&listId=625&listAttribute=&operationContent=Cardigans&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fcardigans-cid-625&operationpageTitle=%2Fcategory%2Ftanks&vests-cid-130007=&operationPosition=2-2-0-1&operationType=category&productPosition=10&strategyNameList=reco_req_time%3A1763035392653-all_user_exp%3Aexp-collectionId%3A625%3AControl&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjYyNSwibGlzdFRpdGxlIjoiQ2FyZGlnYW5zIiwibGlzdFR5cGUiOjIsIm1vZHVsZUlkIjozLCJtb2R1bGVUeXBlIjoiQlNfSE9UX1JFQ0FMTCxDT0xMRUNUSU9OX1BJTl9UT1AsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzU2NDcyMDE2MDAwLW5YcGs4Ui5qcGciLCJzcHUiOjExNDg2MTM2Mywic3B1Q29kZSI6IkNEMjAyNTA2MTE2MjIyMDRUVCIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDg5MjQyNS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDo2MjU6Q29udHJvbCIsInRyYWNraW5nSWQiOiIzZDhlNmJiNC03MmZlLTRhY2QtYmRjOC1kYzMzNTk2NWM4ZDQifQ%3D%3D&listType=2&listTitle=Cardigans
