Number,Title,Color,Fit Type,Waist Line,Length,Fabric,Pattern,Pocket,Occasion,Clothing Detail,Pant Leg Style,Image URL,Product URL
1,Low-Rise Baggy,Green Olive,Oversized,Low Rise,Long,100% Cotton,Solid,Yes,Daily Casual,Pocket,Wide Leg Trousers,https://img1.shopcider.com/product/1758817230000-8jGCnk.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-solid-wide-leg-jeans-114127762?style_id=2146171&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114127762&shopPage=12&shopIndex=0&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B0&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=1&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fUElOX1RPUCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NDQuOTAsInNjZW5lIjoiQkVTVF9TRUxMRVIiLCJza2NGaXJzdEltZyI6IjE3NTA5MzA4NzEwMDAtc0hYQ2IyLmpwZyIsInNwdSI6MTE0MTI3NzYyLCJzcHVDb2RlIjoiQ0QyMDI0MDYyODUwMzQ1MUpOIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM2NzkwNjgzLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTA2MTpDb250cm9sIiwidHJhY2tpbmdJZCI6ImM4ZTM5ZjUwLTUxMjItNDIzMC04NjkzLTMxMGE3MzNhZWU1YiJ9&activityId=9324&activity_id=9324
2,Denim High Waist Pleated Straight Leg Jeans,Navy,Oversized,High Rise,Long,75% Cotton 25% Polyester,Solid,Yes,Daily Casual Coffee Shop Outdoor Work,Pleated,Straight Leg Trousers,https://img1.shopcider.com/product/1724416655000-ixXpG5.jpg,https://www.shopcider.com/goods/denim-high-waist-pleated-wide-leg-jeans-103361490?style_id=2037385&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=103361490&shopPage=12&shopIndex=1&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B1&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=2&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fUElOX1RPUCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NDIuOTAsInNjZW5lIjoiQkVTVF9TRUxMRVIiLCJza2NGaXJzdEltZyI6IjE3MjQ0MTY2NTUwMDAtaXhYcEc1LmpwZyIsInNwdSI6MTAzMzYxNDkwLCJzcHVDb2RlIjoiQ0QyMDIzMDgzMDM3NzM4MUpOIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM2NzkwNjgzLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTA2MTpDb250cm9sIiwidHJhY2tpbmdJZCI6ImM4ZTM5ZjUwLTUxMjItNDIzMC04NjkzLTMxMGE3MzNhZWU1YiJ9&activityId=9324&activity_id=9324
3,The Bootcut,Navy,Slim,Low Rise,Long,90% Cotton 8% Polyester 2% Elastane,Solid,Yes,Daily Casual,Button Pocket,Flared Trousers,https://img1.shopcider.com/product/1752122700000-rC3m2d.jpg,https://www.shopcider.com/goods/denim-low-rise-flared-jeans-114754289?style_id=2182229&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114754289&shopPage=12&shopIndex=2&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B2&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=3&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fUElOX1RPUCxQSU5fVE9QIiwib3JpZ2luYWxQcmljZSI6NDQuOTAsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjI2Ljk0LCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzUyMTIyNjc0MDAwLWQzeVJoeC5qcGciLCJzcHUiOjExNDc1NDI4OSwic3B1Q29kZSI6IkNEMjAyNTAzMTg2MDUxMDBKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5MDY4My1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiJjOGUzOWY1MC01MTIyLTQyMzAtODY5My0zMTBhNzMzYWVlNWIifQ%3D%3D&activityId=9324&activity_id=9324
4,Denim High Waist Pocket Baggy Jeans,Blue,Regular,High Rise,Long,62% Cotton 31% Polyester 7% viscose,Solid,Yes,Daily Casual,Button Pocket Zipper,Wide Leg Trousers,https://img1.shopcider.com/product/1760948298000-bf4wCk.jpg,https://www.shopcider.com/goods/denim-high-waist-pocket-wide-leg-jeans-100433644?style_id=1153318&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=100433644&shopPage=12&shopIndex=3&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B3&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=4&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fUElOX1RPUCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NDIuOTAsInNjZW5lIjoiQkVTVF9TRUxMRVIiLCJza2NGaXJzdEltZyI6IjE3NjA5NDgyOTgwMDAtYmY0d0NrLmpwZyIsInNwdSI6MTAwNDMzNjQ0LCJzcHVDb2RlIjoiQ0QyMDIzMDYyODMzNTY2M0pOIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM2NzkwNjgzLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTA2MTpDb250cm9sIiwidHJhY2tpbmdJZCI6ImM4ZTM5ZjUwLTUxMjItNDIzMC04NjkzLTMxMGE3MzNhZWU1YiJ9&activityId=9324&activity_id=9324
5,Cider Denim Low Rise Solid Bowknot Pocket Wide Leg Jeans,Blue,Oversized,Low Rise,Long,86% Cotton 9% Polyester 4% Viscose 1% Other Fibers,Solid,Yes,Daily Casual,Bowknot Pocket,Wide Leg Trousers,https://img1.shopcider.com/product/1718423218000-kp6jnB.jpg,https://www.shopcider.com/goods/cider-denim-mid-rise-solid-bowknot-wide-leg-jeans-110376211?style_id=2005876&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=110376211&shopPage=12&shopIndex=4&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B4&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=5&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fUElOX1RPUCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NDIuOTAsInNjZW5lIjoiQkVTVF9TRUxMRVIiLCJza2NGaXJzdEltZyI6IjE3MTg0MjMyMTgwMDAta3A2am5CLmpwZyIsInNwdSI6MTEwMzc2MjExLCJzcHVDb2RlIjoiQ0QyMDI0MDQwMTQ2NTgwM0pOIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM2NzkwNjgzLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTA2MTpDb250cm9sIiwidHJhY2tpbmdJZCI6ImM4ZTM5ZjUwLTUxMjItNDIzMC04NjkzLTMxMGE3MzNhZWU1YiJ9&activityId=9324&activity_id=9324
6,Stretch Cider Denim Low Rise Bowknot Flared Jeans,Blue,Regular,Low Rise,Long,68% Cotton 30% Polyester 2% Elastane,Solid,Yes,Daily Casual,Bowknot Button Pocket,Flared Trousers,https://img1.shopcider.com/product/1758891872000-Wcy3ex.jpg,https://www.shopcider.com/goods/cider-denim-low-rise-bowknot-flared-trousers-114952164?style_id=2208651&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114952164&shopPage=12&shopIndex=5&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B5&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=6&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fUElOX1RPUCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NDQuOTAsInNjZW5lIjoiQkVTVF9TRUxMRVIiLCJza2NGaXJzdEltZyI6IjE3NTg4OTE4NzIwMDAtV2N5M2V4LmpwZyIsInNwdSI6MTE0OTUyMTY0LCJzcHVDb2RlIjoiQ0QyMDI1MDcwOTYyODU5N0pOIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM2NzkwNjgzLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTA2MTpDb250cm9sIiwidHJhY2tpbmdJZCI6ImM4ZTM5ZjUwLTUxMjItNDIzMC04NjkzLTMxMGE3MzNhZWU1YiJ9&activityId=9324&activity_id=9324
7,Denim Low Rise Lace Graphic Wide Leg Jeans,Multicolor,Oversized,Low Rise,Long,100% Cotton,Lace,Yes,Daily Casual,Button Pocket Ripped,Wide Leg Trousers,https://img1.shopcider.com/product/1753848151000-yAtsRm.jpg,https://www.shopcider.com/goods/denim-low-rise-lace-graphic-ripped-wide-leg-trousers-114828481?style_id=2193171&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114828481&shopPage=12&shopIndex=6&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B6&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=7&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fUElOX1RPUCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NTcuOTAsInNjZW5lIjoiQkVTVF9TRUxMRVIiLCJza2NGaXJzdEltZyI6IjE3NTY3ODQxOTQwMDAtRmN0ZDNhLmpwZyIsInNwdSI6MTE0ODI4NDgxLCJzcHVDb2RlIjoiQ0QyMDI1MDUyMzYxOTAxMUpOIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM2NzkwNjgzLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTA2MTpDb250cm9sIiwidHJhY2tpbmdJZCI6ImM4ZTM5ZjUwLTUxMjItNDIzMC04NjkzLTMxMGE3MzNhZWU1YiJ9&activityId=9324&activity_id=9324
9,Denim Low Rise Pleated Wide Leg Jeans With Belt,Brown,Oversized,Low Rise,Long,100% Cotton,Solid,Yes,Daily Casual,Belted Pleated Pocket,Wide Leg Trousers,https://img1.shopcider.com/product/1752116178000-cjycnD.jpg,https://www.shopcider.com/goods/denim-low-rise-pleated-wide-leg-jeans-with-belt-114754243?style_id=2182316&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=114754243&shopPage=12&shopIndex=8&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B8&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=9&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4i%20WNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fUElOX1RPUCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NDkuOTAsInNjZW5lIjoiQkVTVF9TRUxMRVIiLCJza2NGaXJzdEltZyI6IjE3NTM3NjAxODIwMDAtWmZTQkZDLmpwZyIsInNwdSI6MTE0NzU0MjQzLCJzcHVDb2RlIjoiQ0QyMDI1MDQxMDYwOTcyN0pOIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM2NzkwNjgzLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTA2MTpDb250cm9sIiwidHJhY2tpbmdJZCI6ImM4ZTM5ZjUwLTUxMjItNDIzMC04NjkzLTMxMGE3MzNhZWU1YiJ9&activityId=9324&activity_id=9324
10,Stretch High Waist Wide Leg Jeans,Blue,Regular,High Rise,Long,68% Cotton 30% Polyester 2% spandex,Solid,Yes,School Daily Casual,Button Pocket,Wide Leg Trousers,https://img1.shopcider.com/product/1683808990000-snNKCm.jpg,https://www.shopcider.com/goods/high-waist-wide-leg-jeans-1039924?style_id=144692&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=1039924&shopPage=12&shopIndex=9&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B9&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=10&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fUElOX1RPUCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NDIuOTAsInNjZW5lIjoiQkVTVF9TRUxMRVIiLCJza2NGaXJzdEltZyI6IjE2ODM4MDg5OTAwMDAtc25OS0NtLmpwZyIsInNwdSI6MTAzOTkyNCwic3B1Q29kZSI6IkNEMjAyMzA0MTQyOTI2NzRKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5MDY4My1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiJjOGUzOWY1MC01MTIyLTQyMzAtODY5My0zMTBhNzMzYWVlNWIifQ%3D%3D&activityId=9324&activity_id=9324
11,Cider Denim Mid Rise Solid Roll Hem Straight Leg Jeans,Blue,Oversized,Mid Rise,Long,87% Cotton 7% Polyester 6% Viscose,Solid,Yes,Daily Casual,Pocket,Straight Leg Trousers,https://img1.shopcider.com/product/1721980200000-eJsPTf.jpg,https://www.shopcider.com/goods/cider-denim-mid-rise-solid-straight-leg-jeans-111801702?style_id=2023572&ciderListName=Jeans&selectSkuIndex=0&moduleTitle=1&p=111801702&shopPage=12&shopIndex=10&navTitle=&navId=&listSource=activity-9324%3Bproduct-waterfall%3B10&listId=125061&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=11&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iue6ouS6uuinhumikSIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTA2MSwibGlzdFRpdGxlIjoiSmVhbnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJCU19IT1RfUkVDQUxMLENPTExFQ1RJT05fT0ZGTElORSIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQ3LjkwLCJzY2VuZSI6IkJFU1RfU0VMTEVSIiwic2tjRmlyc3RJbWciOiIxNzI2ODE3MDUwMDAwLWhzY2JpNy5tcDQiLCJzcHUiOjExMTgwMTcwMiwic3B1Q29kZSI6IkNEMjAyNDA2MDQ0OTE3ODBKTiIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNjc5MDY4My1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwNjE6Q29udHJvbCIsInRyYWNraW5nSWQiOiJjOGUzOWY1MC01MTIyLTQyMzAtODY5My0zMTBhNzMzYWVlNWIifQ%3D%3D&activityId=9324&activity_id=9324
