Number,Title,Color,Fit Type,Waist Line,Length,Fabric,Pattern,Sleeve Type,Neckline,Chest Pad,Lining,Pocket,Occasion,Clothing Detail,Pant Leg Style,Image URL,Product URL
1,Fleece Collar Graphic Jacket,Red,Oversized,,Long,100% Polyester; 100% Polyester,Placement Graphic,,Mandarin Collar/Stand Collar,,,Yes,School,Pocket,,https://img1.shopcider.com/product/1729685729000-ZNDBWs.jpg,https://www.shopcider.com/goods/fleece-stand-collar-fawn-polka-dot-graphic-pocket-jacket-113824348?style_id=2069150&ciderListName=Outerwear%20&%20Jackets=&selectSkuIndex=0&moduleTitle=1&p=113824348&shopPage=31&shopIndex=0&navTitle=&navId=&listSource=activity-10346%3Bproduct-waterfall%3B0&listId=125032&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=1&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTAzMiwibGlzdFRpdGxlIjoiT3V0ZXJ3ZWFyICYgSmFja2V0cyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IkNPTExFQ1RJT05fUElOX1RPUCxHRU5FUkFMX0hPVCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NzIuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTcyOTY4NTcyOTAwMC1aTkRCV3MuanBnIiwic3B1IjoxMTM4MjQzNDgsInNwdUNvZGUiOiJDRDIwMjQwNzAzNTA1ODY3SkEiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzMyMjI5OTMtcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTAzMjpDb250cm9sIiwidHJhY2tpbmdJZCI6IjU3NDU2NTI1LWI2NDYtNGFmMy04OTEzLTI3YmZmODQ0MWM3OSJ9&activityId=10346&activity_id=10346
2,Faux Fur Deer Print High Neck Zip Through Jacket,Brown,Regular,,Regular,100% Polyester; 100% Polyester,Animal,,High Neck,,,Yes,Daily Casual,Pocket Zipper,,https://img1.shopcider.com/product/1753354898000-ZXFBWp.jpg,https://www.shopcider.com/goods/deer-print-high-neck-zip-through-faux-fur-jacket-114832328?style_id=2193850&ciderListName=Outerwear%20&%20Jackets=&selectSkuIndex=0&moduleTitle=1&p=114832328&shopPage=31&shopIndex=1&navTitle=&navId=&listSource=activity-10346%3Bproduct-waterfall%3B1&listId=125032&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=2&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTAzMiwibGlzdFRpdGxlIjoiT3V0ZXJ3ZWFyICYgSmFja2V0cyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IkNPTExFQ1RJT05fUElOX1RPUCxHRU5FUkFMX0hPVCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NTQuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTc1MzM1NDg5ODAwMC1aWEZCV3AuanBnIiwic3B1IjoxMTQ4MzIzMjgsInNwdUNvZGUiOiJDRDIwMjUwNDI5NjE0NTMySksiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzMyMjI5OTMtcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTAzMjpDb250cm9sIiwidHJhY2tpbmdJZCI6IjU3NDU2NTI1LWI2NDYtNGFmMy04OTEzLTI3YmZmODQ0MWM3OSJ9&activityId=10346&activity_id=10346
3,Fleece Stand Collar Ski Graphic Zip Through Oversized Jacket Vest,multicolor,Oversized,,Regular,100% Polyester; 100% Polyester,Conversational,,Mandarin Collar/Stand Collar,,,No,Daily Casual,Zipper,,https://img1.shopcider.com/product/1761724573000-4X3Nmx.jpg,https://www.shopcider.com/goods/fleece-mandarin-collar-sleeveless-ski-graphic-zip-through-oversized-jacket-115042134?style_id=2223751&ciderListName=Outerwear%20&%20Jackets=&selectSkuIndex=0&moduleTitle=1&p=115042134&shopPage=31&shopIndex=2&navTitle=&navId=&listSource=activity-10346%3Bproduct-waterfall%3B2&listId=125032&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=3&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4iuWNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTAzMiwibGlzdFRpdGxlIjoiT3V0ZXJ3ZWFyICYgSmFja2V0cyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IkNPTExFQ1RJT05fUElOX1RPUCxHRU5FUkFMX0hPVCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NDQuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTc2MTg4OTk0NzAwMC1qTkFtVGguanBnIiwic3B1IjoxMTUwNDIxMzQsInNwdUNvZGUiOiJDRDIwMjUwODExNjM3MjkxSksiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzMyMjI5OTMtcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTAzMjpDb250cm9sIiwidHJhY2tpbmdJZCI6IjU3NDU2NTI1LWI2NDYtNGFmMy04OTEzLTI3YmZmODQ0MWM3OSJ9&activityId=10346&activity_id=10346
4,Suede Collar Double Breasted Trench Coat With Belt,Brown,Oversized,,Crop,88% Polyester 12% Elastane; 100% Polyester,Solid,,Collar,,,Yes,Work,Belted Button,,https://img1.shopcider.com/product/1758708699000-CAXrj5.jpg,https://www.shopcider.com/goods/suede-collar-double-breasted-windbreaker-with-belt-114942941?style_id=2217779&ciderListName=Outerwear%20&%20Jackets=&selectSkuIndex=0&moduleTitle=1&p=114942941&shopPage=31&shopIndex=3&navTitle=&navId=&listSource=activity-10346%3Bproduct-waterfall%3B3&listId=125032&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=4&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTAzMiwibGlzdFRpdGxlIjoiT3V0ZXJ3ZWFyICYgSmFja2V0cyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IkNPTExFQ1RJT05fUElOX1RPUCxHRU5FUkFMX0hPVCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NTcuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTc2MTAzNjcwOTAwMC1LNVlSMksuanBnIiwic3B1IjoxMTQ5NDI5NDEsInNwdUNvZGUiOiJDRDIwMjUwNzE2NjMwNjY4VEUiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzMyMjI5OTMtcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTAzMjpDb250cm9sIiwidHJhY2tpbmdJZCI6IjU3NDU2NTI1LWI2NDYtNGFmMy04OTEzLTI3YmZmODQ0MWM3OSJ9&activityId=10346&activity_id=10346
5,Wool-look Collar Faux Fur Trim Long Sleeve Button Coat,White,Regular,,Regular,70% Polyester 20% Viscose 10% Polyamide; 100% Polyester; 100% Polyester,Solid,,Collar,,,Yes,Daily Casual,Button Pocket,,https://img1.shopcider.com/product/1759921733000-wxz6s3.jpg,https://www.shopcider.com/goods/wool-look-collar-raw-hem-long-sleeve-button-coat-115005011?style_id=2217575&ciderListName=Outerwear%20&%20Jackets=&selectSkuIndex=0&moduleTitle=1&p=115005011&shopPage=31&shopIndex=4&navTitle=&navId=&listSource=activity-10346%3Bproduct-waterfall%3B4&listId=125032&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=5&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTAzMiwibGlzdFRpdGxlIjoiT3V0ZXJ3ZWFyICYgSmFja2V0cyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IkNPTExFQ1RJT05fUElOX1RPUCxHRU5FUkFMX0hPVCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NTkuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTc1OTkyMTczMzAwMC13eHo2czMuanBnIiwic3B1IjoxMTUwMDUwMTEsInNwdUNvZGUiOiJDRDIwMjUwNzE2NjMwNTMxRklKIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDMzMjIyOTkzLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwMzI6Q29udHJvbCIsInRyYWNraW5nSWQiOiI1NzQ1NjUyNS1iNjQ2LTRhZjMtODkxMy0yN2JmZjg0NDFjNzkifQ%3D%3D&activityId=10346&activity_id=10346
6,Reversible Cotton-blend Stand Collar Tartan Zip Through Puffer,Navy,Regular,,Regular,50% Polyester 50% Cotton; 100% Polyester; 100% Polyester,Checks,,Mandarin Collar/Stand Collar,,,Yes,Daily Casual,Pocket Zipper,,https://img1.shopcider.com/product/1762408986000-3FCaRD.jpeg,https://www.shopcider.com/goods/reversible-cotton-blend-stand-collar-tartan-zip-through-puffer-115049721?style_id=2227160&ciderListName=Outerwear%20&%20Jackets=&selectSkuIndex=0&moduleTitle=1&p=115049721&shopPage=31&shopIndex=5&navTitle=&navId=&listSource=activity-10346%3Bproduct-waterfall%3B5&listId=125032&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=6&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTAzMiwibGlzdFRpdGxlIjoiT3V0ZXJ3ZWFyICYgSmFja2V0cyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IkNPTExFQ1RJT05fUElOX1RPUCxHRU5FUkFMX0hPVCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NTcuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTc2MjQwODk4NjAwMC0zRkNhUkQuanBlZyIsInNwdSI6MTE1MDQ5NzIxLCJzcHVDb2RlIjoiQ0QyMDI1MDgyMTYzOTgyMk9VIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDMzMjIyOTkzLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwMzI6Q29udHJvbCIsInRyYWNraW5nSWQiOiI1NzQ1NjUyNS1iNjQ2LTRhZjMtODkxMy0yN2JmZjg0NDFjNzkifQ%3D%3D&activityId=10346&activity_id=10346
7,Wool-look Mandarin Collar Button Long Sleeve Oversized Jacket,Black,Oversized,,Regular,100% Polyester; 95% Polyester 5% Elastane,Solid,,Mandarin Collar/Stand Collar,,,Yes,Daily Casual Work,Button Pocket,,https://img1.shopcider.com/product/1760327800000-reBx8A.jpg,https://www.shopcider.com/goods/wool-look-mandarin-collar-button-long-sleeve-oversized-jacket-115019432?style_id=2222727&ciderListName=Outerwear%20&%20Jackets=&selectSkuIndex=0&moduleTitle=1&p=115019432&shopPage=31&shopIndex=6&navTitle=&navId=&listSource=activity-10346%3Bproduct-waterfall%3B6&listId=125032&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=7&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTAzMiwibGlzdFRpdGxlIjoiT3V0ZXJ3ZWFyICYgSmFja2V0cyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IkNPTExFQ1RJT05fUElOX1RPUCxHRU5FUkFMX0hPVCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NjcuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTc2MDMyNzgwMDAwMC1yZUJ4OEEuanBnIiwic3B1IjoxMTUwMTk0MzIsInNwdUNvZGUiOiJDRDIwMjUwNDA5NjA5NDY2VEUiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzMyMjI5OTMtcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTAzMjpDb250cm9sIiwidHJhY2tpbmdJZCI6IjU3NDU2NTI1LWI2NDYtNGFmMy04OTEzLTI3YmZmODQ0MWM3OSJ9&activityId=10346&activity_id=10346
8,Faux Fur Collar Buckle Long Sleeve Oversized Coat With Belt,Brown,Oversized,,Long,100% Polyester; 50% Polyurethane 50% Polyester; 100% Polyester,Solid,,Collar,,,Yes,Daily Casual,Belted Buckle Button,,https://img1.shopcider.com/product/1762338287000-sQwPze.jpg,https://www.shopcider.com/goods/faux-fur-collar-buckle-long-sleeve-oversized-coat-with-belt-115049970?style_id=2227174&ciderListName=Outerwear%20&%20Jackets=&selectSkuIndex=0&moduleTitle=1&p=115049970&shopPage=31&shopIndex=7&navTitle=&navId=&listSource=activity-10346%3Bproduct-waterfall%3B7&listId=125032&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=8&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4iuWNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTAzMiwibGlzdFRpdGxlIjoiT3V0ZXJ3ZWFyICYgSmFja2V0cyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IkNPTExFQ1RJT05fUElOX1RPUCxHRU5FUkFMX0hPVCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6ODcuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTc2MjI1NDE4MjAwMC1yeFNBd1MuanBnIiwic3B1IjoxMTUwNDk5NzAsInNwdUNvZGUiOiJDRDIwMjUwODA2NjM2MTg5QloiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzMyMjI5OTMtcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTAzMjpDb250cm9sIiwidHJhY2tpbmdJZCI6IjU3NDU2NTI1LWI2NDYtNGFmMy04OTEzLTI3YmZmODQ0MWM3OSJ9&activityId=10346&activity_id=10346
9,Jacquard Peter Pan Collar Plaid Double Breasted Mid-length Sleeve Jacket,multicolor,Regular,,Regular,70% Polyester 25% Cotton 5% Elastane; 95% Polyester 5% spandex,Checks,,Collar,,,No,Daily Casual,Button,,https://img1.shopcider.com/product/1759294665000-WAKYe8.jpg,https://www.shopcider.com/goods/jacquard-peter-pan-collar-plaid-double-breasted-mid-length-sleeve-jacket-114958435?style_id=2210999&ciderListName=Outerwear%20&%20Jackets=&selectSkuIndex=0&moduleTitle=1&p=114958435&shopPage=31&shopIndex=8&navTitle=&navId=&listSource=activity-10346%3Bproduct-waterfall%3B8&listId=125032&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=9&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4iuWNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTAzMiwibGlzdFRpdGxlIjoiT3V0ZXJ3ZWFyICYgSmFja2V0cyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IkNPTExFQ1RJT05fUElOX1RPUCxHRU5FUkFMX0hPVCxQSU5fVE9QIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6NDkuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTc1OTg5NzUxMDAwMC1Lc1pwS0EuanBnIiwic3B1IjoxMTQ5NTg0MzUsInNwdUNvZGUiOiJDRDIwMjUwNjE3NjIzMzcxSkEiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzMyMjI5OTMtcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyNTAzMjpDb250cm9sIiwidHJhY2tpbmdJZCI6IjU3NDU2NTI1LWI2NDYtNGFmMy04OTEzLTI3YmZmODQ0MWM3OSJ9&activityId=10346&activity_id=10346
10,Corduroy Funnel Neck Zip Through Oversized Puffer,Brown,Oversized,,Regular,100% Polyester; 100% Polyester; 100% Polyester,Solid,,Mandarin Collar/Stand Collar,,,Yes,Daily Casual,Button Pocket Zipper,,https://img1.shopcider.com/product/1760153225000-XxW2yH.jpg,https://www.shopcider.com/goods/corduroy-funnel-neck-zip-through-oversized-puffer-114978426?style_id=2214329&ciderListName=Outerwear%20&%20Jackets=&selectSkuIndex=0&moduleTitle=1&p=114978426&shopPage=31&shopIndex=9&navTitle=&navId=&listSource=activity-10346%3Bproduct-waterfall%3B9&listId=125032&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=10&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyNTAzMiwibGlzdFRpdGxlIjoiT3V0ZXJ3ZWFyICYgSmFja2V0cyIsImxpc3RUeXBlIjoyLCJtb2R1bGVJZCI6MywibW9kdWxlVHlwZSI6IkNPTExFQ1RJT05fT0ZGTElORSxHRU5FUkFMX0hPVCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjcyLjkwLCJzY2VuZSI6IkNBVEVHT1JZX0NPTExFQ1RJT04iLCJza2NGaXJzdEltZyI6IjE3NjAxNTMyMjUwMDAtWHhXMnlILmpwZyIsInNwdSI6MTE0OTc4NDI2LCJzcHVDb2RlIjoiQ0QyMDI1MDYyMDYyNDg3NEJaIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDMzMjIyOTkzLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjUwMzI6Q29udHJvbCIsInRyYWNraW5nSWQiOiI1NzQ1NjUyNS1iNjQ2LTRhZjMtODkxMy0yN2JmZjg0NDFjNzkifQ%3D%3D&activityId=10346&activity_id=10346
