Number,Title,Color,Fit Type,Waist Line,Length,Fabric,Pattern,Sleeve Type,Neckline,Chest Pad,Lining,Pocket,Occasion,Clothing Detail,Pant Leg Style,Image URL,Product URL
1,ZIRCON WING & GLASS PENDANT & RHINESTONE EARRINGS,Green,,,,Polyresin,,,,,,,Daily Casual Party/Clubbing Vacation,,,https://img1.shopcider.com/product/1747833278000-FXBXpF.jpg,https://www.shopcider.com/product/detail?pid=114644512&ciderListId=9&ciderListName=detail_114671320_product_together&moduleTitle=1&shopPage=1&businessTracking=eyJsaXN0VGl0bGUiOiJkZXRhaWxfMTE0NjcxMzIwX3Byb2R1Y3RfdG9nZXRoZXIiLCJsaXN0VHlwZSI6OSwib3JpZ2luYWxQcmljZSI6OC45MCwic2FsZVByaWNlIjo4LjkwLCJzY2VuZSI6IldFQVJfSVRfV0lUSCIsInNwdSI6MTE0NjQ0NTEyLCJzcHVDb2RlIjoiQ0QyMDI1MDUxMjYxNjAzM0VSIiwidHJhY2tpbmdJZCI6IjI2OWE2ZmNlLTgzNjUtNGRhYS1iODQ0LWIzODY0MjRiYTcwOSJ9&listTitle=detail_114671320_product_together&listType=9
2,4PCS FLOWER HAIR CLIP SET,multicolor,,,,Plastic,,,,,,,Vacation,,,https://img1.shopcider.com/product/1751024359000-BwDPXd.jpg,https://www.shopcider.com/product/detail?pid=114519302&ciderListId=9&ciderListName=detail_114671320_product_together&moduleTitle=1&shopPage=1&businessTracking=eyJsaXN0VGl0bGUiOiJkZXRhaWxfMTE0NjcxMzIwX3Byb2R1Y3RfdG9nZXRoZXIiLCJsaXN0VHlwZSI6OSwib3JpZ2luYWxQcmljZSI6OS45MCwic2FsZVByaWNlIjo2Ljk5LCJzY2VuZSI6IldFQVJfSVRfV0lUSCIsInNwdSI6MTE0NTE5MzAyLCJzcHVDb2RlIjoiQ0QyMDI1MDQwODYwOTIxMkhBIiwidHJhY2tpbmdJZCI6IjI2OWE2ZmNlLTgzNjUtNGRhYS1iODQ0LWIzODY0MjRiYTcwOSJ9&listTitle=detail_114671320_product_together&listType=9
3,TULIP PENDANT NECKLACE,Silver ,,,,Stainless Steel,,,,,,,Date Wedding Work,,,https://img1.shopcider.com/product/1750338521000-3MSf4a.jpg,https://www.shopcider.com/goods/tulip-pendant-necklace-114703445?style_id=2173078&gaListId=0&gaListName=%E8%AF%A6%E6%83%85%E9%A1%B5%E4%B8%8B%E6%96%B9%E7%9A%84%E6%8E%A8%E8%8D%90%E5%88%97%E8%A1%A8&ciderListId=3&ciderListName=detail_114671320_recommendation&selectSkuIndex=0&moduleTitle=1&p=114703445&shopPage=1&shopIndex=0&navTitle=&navId=&listId=0&listAttribute=&operationContent=Jewelry&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fjewelry-cid-3356&operationpageTitle=%2Fcategory%2Fbags-cid-8769&operationPosition=2-2-0&operationType=category&productPosition=1&strategyNameList=-reco_req_time%3A1763039283358-reco_rank_all_scenario_model_simple_ymal%3Abase-reco_rank_deep_fm_p1%3Abase-reco_rerank_local_boost_us_20250908%3Abase_1107-reco_sort_weight_by_act_len_ymal%3Abase-reco_rerank_local_boost_north_20250922%3Abase-all_user_exp%3Aexp&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjAsImxpc3RUaXRsZSI6ImRldGFpbF8xMTQ2NzEzMjBfcmVjb21tZW5kYXRpb24iLCJsaXN0VHlwZSI6MywibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDRl9DQVRFR09SWSxJMkksSTJJX1lNQUwsSU1BR0VfU0lNSUxBUixTV0lORyIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjEyLjkwLCJzY2VuZSI6IllPVV9NQVlfQUxTT19MSUtFIiwic2tjRmlyc3RJbWciOiIxNzUwMzM4NTIxMDAwLTNNU2Y0YS5qcGciLCJzcHUiOjExNDcwMzQ0NSwic3B1Q29kZSI6IkNEMjAyNTA2MDQ2MjA3MDJKVyIsInN0cmF0ZWd5TmFtZSI6Ii1yZWNvX3JlcV90aW1lOjE3NjMwMzkyODMzNTgtcmVjb19yYW5rX2FsbF9zY2VuYXJpb19tb2RlbF9zaW1wbGVfeW1hbDpiYXNlLXJlY29fcmFua19kZWVwX2ZtX3AxOmJhc2UtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fc29ydF93ZWlnaHRfYnlfYWN0X2xlbl95bWFsOmJhc2UtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwIiwidHJhY2tpbmdJZCI6IjY0MjJmMmFiLTU3OTctNGVmMi1hYTU2LWMwZDgzNjlkMjJmNCJ9&listType=3&listTitle=detail_114671320_recommendation
4,FLOWER & HEART PENDANT NECKLACE,Gold ,,,,Copper,,,,,,,Daily Casual Coffee Shop Vacation Work,,,https://img1.shopcider.com/product/1751891165000-FYEyWm.jpg,https://www.shopcider.com/goods/flower-heart-pendant-necklace-114731117?style_id=2178009&gaListId=0&gaListName=%E8%AF%A6%E6%83%85%E9%A1%B5%E4%B8%8B%E6%96%B9%E7%9A%84%E6%8E%A8%E8%8D%90%E5%88%97%E8%A1%A8&ciderListId=3&ciderListName=detail_114671320_recommendation&selectSkuIndex=0&moduleTitle=1&p=114731117&shopPage=1&shopIndex=1&navTitle=&navId=&listId=0&listAttribute=&operationContent=Jewelry&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fjewelry-cid-3356&operationpageTitle=%2Fcategory%2Fbags-cid-8769&operationPosition=2-2-0&operationType=category&productPosition=2&strategyNameList=-reco_req_time%3A1763039283358-reco_rank_all_scenario_model_simple_ymal%3Abase-reco_rank_deep_fm_p1%3Abase-reco_rerank_local_boost_us_20250908%3Abase_1107-reco_sort_weight_by_act_len_ymal%3Abase-reco_rerank_local_boost_north_20250922%3Abase-all_user_exp%3Aexp&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6IuaooeeJueeZveW6leWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjAsImxpc3RUaXRsZSI6ImRldGFpbF8xMTQ2NzEzMjBfcmVjb21tZW5kYXRpb24iLCJsaXN0VHlwZSI6MywibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDRl9DQVRFR09SWSxJMkksSTJJX1lNQUwsU1dJTkciLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjoxMi45MCwic2NlbmUiOiJZT1VfTUFZX0FMU09fTElLRSIsInNrY0ZpcnN0SW1nIjoiMTc1MjU3NTM0NDAwMC1UU0pXWEguanBnIiwic3B1IjoxMTQ3MzExMTcsInNwdUNvZGUiOiJDRDIwMjUwNjI3NjI2MjM4SlciLCJzdHJhdGVneU5hbWUiOiItcmVjb19yZXFfdGltZToxNzYzMDM5MjgzMzU4LXJlY29fcmFua19hbGxfc2NlbmFyaW9fbW9kZWxfc2ltcGxlX3ltYWw6YmFzZS1yZWNvX3JhbmtfZGVlcF9mbV9wMTpiYXNlLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3NvcnRfd2VpZ2h0X2J5X2FjdF9sZW5feW1hbDpiYXNlLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cCIsInRyYWNraW5nSWQiOiI2NDIyZjJhYi01Nzk3LTRlZjItYWE1Ni1jMGQ4MzY5ZDIyZjQifQ%3D%3D&listType=3&listTitle=detail_114671320_recommendation
5,BIRTHSTONE 18K GOLD PLATED STAINLESS STEEL PENDANT NECKLACE,Gold ,,,,Stainless Steel,,,,,,,Daily Casual Music Festival/Live House,,,https://img1.shopcider.com/product/1732541680000-QGZ2rF.jpg,https://www.shopcider.com/goods/birthstone-18k-gold-plated-stainless-steel-pendant-necklace-114156025?style_id=2099882&gaListId=0&gaListName=%E8%AF%A6%E6%83%85%E9%A1%B5%E4%B8%8B%E6%96%B9%E7%9A%84%E6%8E%A8%E8%8D%90%E5%88%97%E8%A1%A8&ciderListId=3&ciderListName=detail_114671320_recommendation&selectSkuIndex=0&moduleTitle=1&p=114156025&shopPage=1&shopIndex=2&navTitle=&navId=&listId=0&listAttribute=&operationContent=Jewelry&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fjewelry-cid-3356&operationpageTitle=%2Fcategory%2Fbags-cid-8769&operationPosition=2-2-0&operationType=category&productPosition=3&strategyNameList=-reco_req_time%3A1763039283358-reco_rank_all_scenario_model_simple_ymal%3Abase-reco_rank_deep_fm_p1%3Abase-reco_rerank_local_boost_us_20250908%3Abase_1107-reco_sort_weight_by_act_len_ymal%3Abase-reco_rerank_local_boost_north_20250922%3Abase-all_user_exp%3Aexp&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjAsImxpc3RUaXRsZSI6ImRldGFpbF8xMTQ2NzEzMjBfcmVjb21tZW5kYXRpb24iLCJsaXN0VHlwZSI6MywibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDRl9DQVRFR09SWSxJMklfWU1BTCxTV0lORyIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjguOTAsInNjZW5lIjoiWU9VX01BWV9BTFNPX0xJS0UiLCJza2NGaXJzdEltZyI6IjE3MzI1NDE2ODAwMDAtUUdaMnJGLmpwZyIsInNwdSI6MTE0MTU2MDI1LCJzcHVDb2RlIjoiQ0QyMDI0MTEwNzU3NTgxOUpXIiwic3RyYXRlZ3lOYW1lIjoiLXJlY29fcmVxX3RpbWU6MTc2MzAzOTI4MzM1OC1yZWNvX3JhbmtfYWxsX3NjZW5hcmlvX21vZGVsX3NpbXBsZV95bWFsOmJhc2UtcmVjb19yYW5rX2RlZXBfZm1fcDE6YmFzZS1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19zb3J0X3dlaWdodF9ieV9hY3RfbGVuX3ltYWw6YmFzZS1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAiLCJ0cmFja2luZ0lkIjoiNjQyMmYyYWItNTc5Ny00ZWYyLWFhNTYtYzBkODM2OWQyMmY0In0%3D&listType=3&listTitle=detail_114671320_recommendation
6,ANGEL & RHINESTONE & BEAD PENDANT NECKLACE,Gold ,,,,Copper,,,,,,,School Daily Casual Date Exhibition Coffee Shop Work,,,https://img1.shopcider.com/product/1736168809000-7TZmd2.jpg,https://www.shopcider.com/goods/angel-rhinestone-bead-pendant-necklace-114352293?style_id=2117744&gaListId=0&gaListName=%E8%AF%A6%E6%83%85%E9%A1%B5%E4%B8%8B%E6%96%B9%E7%9A%84%E6%8E%A8%E8%8D%90%E5%88%97%E8%A1%A8&ciderListId=3&ciderListName=detail_114671320_recommendation&selectSkuIndex=0&moduleTitle=1&p=114352293&shopPage=1&shopIndex=3&navTitle=&navId=&listId=0&listAttribute=&operationContent=Jewelry&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fjewelry-cid-3356&operationpageTitle=%2Fcategory%2Fbags-cid-8769&operationPosition=2-2-0&operationType=category&productPosition=4&strategyNameList=-reco_req_time%3A1763039283358-reco_rank_all_scenario_model_simple_ymal%3Abase-reco_rank_deep_fm_p1%3Abase-reco_rerank_local_boost_us_20250908%3Abase_1107-reco_sort_weight_by_act_len_ymal%3Abase-reco_rerank_local_boost_north_20250922%3Abase-all_user_exp%3Aexp&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjAsImxpc3RUaXRsZSI6ImRldGFpbF8xMTQ2NzEzMjBfcmVjb21tZW5kYXRpb24iLCJsaXN0VHlwZSI6MywibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDRl9DQVRFR09SWSxJMklfWU1BTCxTV0lORyIsIm9yaWdpbmFsUHJpY2UiOjguOTAsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQuOTksInNjZW5lIjoiWU9VX01BWV9BTFNPX0xJS0UiLCJza2NGaXJzdEltZyI6IjE3MzYxNjg4MDkwMDAtN1RabWQyLmpwZyIsInNwdSI6MTE0MzUyMjkzLCJzcHVDb2RlIjoiQ0QyMDI0MTIyNDU4ODMzMEpXIiwic3RyYXRlZ3lOYW1lIjoiLXJlY29fcmVxX3RpbWU6MTc2MzAzOTI4MzM1OC1yZWNvX3JhbmtfYWxsX3NjZW5hcmlvX21vZGVsX3NpbXBsZV95bWFsOmJhc2UtcmVjb19yYW5rX2RlZXBfZm1fcDE6YmFzZS1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19zb3J0X3dlaWdodF9ieV9hY3RfbGVuX3ltYWw6YmFzZS1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAiLCJ0cmFja2luZ0lkIjoiNjQyMmYyYWItNTc5Ny00ZWYyLWFhNTYtYzBkODM2OWQyMmY0In0%3D&listType=3&listTitle=detail_114671320_recommendation
7,OVAL STONE INLAID PENDANT STAINLESS STEEL NECKLACE,Gold,,,,Stainless Steel,,,,,,,Exhibition,,,https://img1.shopcider.com/product/1735047280000-hPj2eD.jpg,https://www.shopcider.com/goods/oval-stone-inlaid-pendant-stainless-steel-necklace-114331164?style_id=2112907&gaListId=0&gaListName=%E8%AF%A6%E6%83%85%E9%A1%B5%E4%B8%8B%E6%96%B9%E7%9A%84%E6%8E%A8%E8%8D%90%E5%88%97%E8%A1%A8&ciderListId=3&ciderListName=detail_114671320_recommendation&selectSkuIndex=0&moduleTitle=1&p=114331164&shopPage=1&shopIndex=4&navTitle=&navId=&listId=0&listAttribute=&operationContent=Jewelry&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fjewelry-cid-3356&operationpageTitle=%2Fcategory%2Fbags-cid-8769&operationPosition=2-2-0&operationType=category&productPosition=5&strategyNameList=-reco_req_time%3A1763039283358-reco_rank_all_scenario_model_simple_ymal%3Abase-reco_rank_deep_fm_p1%3Abase-reco_rerank_local_boost_us_20250908%3Abase_1107-reco_sort_weight_by_act_len_ymal%3Abase-reco_rerank_local_boost_north_20250922%3Abase-all_user_exp%3Aexp&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjAsImxpc3RUaXRsZSI6ImRldGFpbF8xMTQ2NzEzMjBfcmVjb21tZW5kYXRpb24iLCJsaXN0VHlwZSI6MywibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDRl9DQVRFR09SWSxJMklfWU1BTCxTV0lORyIsIm9yaWdpbmFsUHJpY2UiOjEyLjkwLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjo3Ljk5LCJzY2VuZSI6IllPVV9NQVlfQUxTT19MSUtFIiwic2tjRmlyc3RJbWciOiIxNzM1MDQ3MjgwMDAwLWhQajJlRC5qcGciLCJzcHUiOjExNDMzMTE2NCwic3B1Q29kZSI6IkNEMjAyNDEyMTM1ODYxODJKVyIsInN0cmF0ZWd5TmFtZSI6Ii1yZWNvX3JlcV90aW1lOjE3NjMwMzkyODMzNTgtcmVjb19yYW5rX2FsbF9zY2VuYXJpb19tb2RlbF9zaW1wbGVfeW1hbDpiYXNlLXJlY29fcmFua19kZWVwX2ZtX3AxOmJhc2UtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fc29ydF93ZWlnaHRfYnlfYWN0X2xlbl95bWFsOmJhc2UtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwIiwidHJhY2tpbmdJZCI6IjY0MjJmMmFiLTU3OTctNGVmMi1hYTU2LWMwZDgzNjlkMjJmNCJ9&listType=3&listTitle=detail_114671320_recommendation
8,26-LETTER PENDANT NECKLACE,Gold,,,,Copper,,,,,,,Daily Casual,,,https://img1.shopcider.com/product/1730715787000-YQJjpC.jpg,https://www.shopcider.com/goods/26-letter-pendant-necklace-with-transparent-box-114054179?style_id=2075146&gaListId=0&gaListName=%E8%AF%A6%E6%83%85%E9%A1%B5%E4%B8%8B%E6%96%B9%E7%9A%84%E6%8E%A8%E8%8D%90%E5%88%97%E8%A1%A8&ciderListId=3&ciderListName=detail_114671320_recommendation&selectSkuIndex=0&moduleTitle=1&p=114054179&shopPage=1&shopIndex=5&navTitle=&navId=&listId=0&listAttribute=&operationContent=Jewelry&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fjewelry-cid-3356&operationpageTitle=%2Fcategory%2Fbags-cid-8769&operationPosition=2-2-0&operationType=category&productPosition=6&strategyNameList=-reco_req_time%3A1763039283358-reco_rank_all_scenario_model_simple_ymal%3Abase-reco_rank_deep_fm_p1%3Abase-reco_rerank_local_boost_us_20250908%3Abase_1107-reco_sort_weight_by_act_len_ymal%3Abase-reco_rerank_local_boost_north_20250922%3Abase-all_user_exp%3Aexp&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjAsImxpc3RUaXRsZSI6ImRldGFpbF8xMTQ2NzEzMjBfcmVjb21tZW5kYXRpb24iLCJsaXN0VHlwZSI6MywibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDRl9DQVRFR09SWSxJMklfWU1BTCxJTUFHRV9TSU1JTEFSLFNXSU5HIiwicHJvZHVjdFByaW1hcnlJbWFnZUZsYWciOnRydWUsInNhbGVQcmljZSI6OC45MCwic2NlbmUiOiJZT1VfTUFZX0FMU09fTElLRSIsInNrY0ZpcnN0SW1nIjoiMTczMDcxNTc4NzAwMC1ZUUpqcEMuanBnIiwic3B1IjoxMTQwNTQxNzksInNwdUNvZGUiOiJDRDIwMjQxMDE0NTY0NDU0SlciLCJzdHJhdGVneU5hbWUiOiItcmVjb19yZXFfdGltZToxNzYzMDM5MjgzMzU4LXJlY29fcmFua19hbGxfc2NlbmFyaW9fbW9kZWxfc2ltcGxlX3ltYWw6YmFzZS1yZWNvX3JhbmtfZGVlcF9mbV9wMTpiYXNlLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3NvcnRfd2VpZ2h0X2J5X2FjdF9sZW5feW1hbDpiYXNlLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cCIsInRyYWNraW5nSWQiOiI2NDIyZjJhYi01Nzk3LTRlZjItYWE1Ni1jMGQ4MzY5ZDIyZjQifQ%3D%3D&listType=3&listTitle=detail_114671320_recommendation
9,ZIRCON FLORAL PENDANT NECKLACE,Gold,,,,Copper,,,,,,,Daily Casual Wedding Vacation,,,https://img1.shopcider.com/product/1745415689000-RQzYdZ.jpg,https://www.shopcider.com/goods/zircon-floral-pendant-necklace-114580471?style_id=2151333&gaListId=0&gaListName=%E8%AF%A6%E6%83%85%E9%A1%B5%E4%B8%8B%E6%96%B9%E7%9A%84%E6%8E%A8%E8%8D%90%E5%88%97%E8%A1%A8&ciderListId=3&ciderListName=detail_114671320_recommendation&selectSkuIndex=0&moduleTitle=1&p=114580471&shopPage=1&shopIndex=6&navTitle=&navId=&listId=0&listAttribute=&operationContent=Jewelry&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fjewelry-cid-3356&operationpageTitle=%2Fcategory%2Fbags-cid-8769&operationPosition=2-2-0&operationType=category&productPosition=7&strategyNameList=-reco_req_time%3A1763039283358-reco_rank_all_scenario_model_simple_ymal%3Abase-reco_rank_deep_fm_p1%3Abase-reco_rerank_local_boost_us_20250908%3Abase_1107-reco_sort_weight_by_act_len_ymal%3Abase-reco_rerank_local_boost_north_20250922%3Abase-all_user_exp%3Aexp&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6IuaooeeJueeZveW6leWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjAsImxpc3RUaXRsZSI6ImRldGFpbF8xMTQ2NzEzMjBfcmVjb21tZW5kYXRpb24iLCJsaXN0VHlwZSI6MywibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDRl9DQVRFR09SWSxJMklfWU1BTCxTV0lORyIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjguOTAsInNjZW5lIjoiWU9VX01BWV9BTFNPX0xJS0UiLCJza2NGaXJzdEltZyI6IjE3NDY1MTM5MjIwMDAtN0VBZGRSLmpwZyIsInNwdSI6MTE0NTgwNDcxLCJzcHVDb2RlIjoiQ0QyMDI1MDQxMDYwOTc0MEpXIiwic3RyYXRlZ3lOYW1lIjoiLXJlY29fcmVxX3RpbWU6MTc2MzAzOTI4MzM1OC1yZWNvX3JhbmtfYWxsX3NjZW5hcmlvX21vZGVsX3NpbXBsZV95bWFsOmJhc2UtcmVjb19yYW5rX2RlZXBfZm1fcDE6YmFzZS1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19zb3J0X3dlaWdodF9ieV9hY3RfbGVuX3ltYWw6YmFzZS1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAiLCJ0cmFja2luZ0lkIjoiNjQyMmYyYWItNTc5Ny00ZWYyLWFhNTYtYzBkODM2OWQyMmY0In0%3D&listType=3&listTitle=detail_114671320_recommendation
10,DOUBLE LAYER NATURAL STONE BEADED BRACELET,Gold,,,,Artificial Crystal,,,,,,,Music Festival/Live House Vacation Beach,,,https://img1.shopcider.com/product/1751275230000-ew37Mn.jpg,https://www.shopcider.com/goods/faux-pearl-natrual-stone-crystal-beaded-bracelet-114723595?style_id=2175923&gaListId=0&gaListName=%E8%AF%A6%E6%83%85%E9%A1%B5%E4%B8%8B%E6%96%B9%E7%9A%84%E6%8E%A8%E8%8D%90%E5%88%97%E8%A1%A8&ciderListId=3&ciderListName=detail_114671320_recommendation&selectSkuIndex=0&moduleTitle=1&p=114723595&shopPage=1&shopIndex=7&navTitle=&navId=&listId=0&listAttribute=&operationContent=Jewelry&operationImage=&linkUrl=https%3A%2F%2Fwww.shopcider.com%2Fcategory%2Fjewelry-cid-3356&operationpageTitle=%2Fcategory%2Fbags-cid-8769&operationPosition=2-2-0&operationType=category&productPosition=8&strategyNameList=-reco_req_time%3A1763039283358-reco_rank_all_scenario_model_simple_ymal%3Abase-reco_rank_deep_fm_p1%3Abase-reco_rerank_local_boost_us_20250908%3Abase_1107-reco_sort_weight_by_act_len_ymal%3Abase-reco_rerank_local_boost_north_20250922%3Abase-all_user_exp%3Aexp&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjAsImxpc3RUaXRsZSI6ImRldGFpbF8xMTQ2NzEzMjBfcmVjb21tZW5kYXRpb24iLCJsaXN0VHlwZSI6MywibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDRl9DQVRFR09SWSxJMklfWU1BTCxTV0lORyIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjcuOTAsInNjZW5lIjoiWU9VX01BWV9BTFNPX0xJS0UiLCJza2NGaXJzdEltZyI6IjE3NTEyNzUyMzAwMDAtNjJBaDdtLmpwZyIsInNwdSI6MTE0NzIzNTk1LCJzcHVDb2RlIjoiQ0QyMDI1MDYxODYyNDE0MEJDIiwic3RyYXRlZ3lOYW1lIjoiLXJlY29fcmVxX3RpbWU6MTc2MzAzOTI4MzM1OC1yZWNvX3JhbmtfYWxsX3NjZW5hcmlvX21vZGVsX3NpbXBsZV95bWFsOmJhc2UtcmVjb19yYW5rX2RlZXBfZm1fcDE6YmFzZS1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19zb3J0X3dlaWdodF9ieV9hY3RfbGVuX3ltYWw6YmFzZS1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAiLCJ0cmFja2luZ0lkIjoiNjQyMmYyYWItNTc5Ny00ZWYyLWFhNTYtYzBkODM2OWQyMmY0In0%3D&listType=3&listTitle=detail_114671320_recommendation
