Number,Title,Color,Fit Type,Waist Line,Length,Fabric,Pattern,Sleeve Type,Neckline,Chest Pad,Lining,Pocket,Occasion,Clothing Detail,Pant Leg Style,Image URL,Product URL
1,Knit Mohair-blend Striped Contrasting Binding Oversized Top,Navy ,Oversized,,Regular,45% Polyester 45% Acrylic 10% Mohair,Stripes,,Round Neckline,,,,Daily Casual,Contrasting Binding,,https://img1.shopcider.com/product/1759974164000-sJPmhz.jpg,https://www.shopcider.com/goods/knit-mohair-blend-striped-contrasting-binding-oversized-top-114987507?style_id=2214876&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114987507&shopPage=11&shopIndex=1&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B1&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=2&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX1BJTl9UT1AsR0VORVJBTF9IT1QsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM0LjkwLCJzY2VuZSI6IkNBVEVHT1JZX0NPTExFQ1RJT04iLCJza2NGaXJzdEltZyI6IjE3NTk5NzQxNjQwMDAtc0pQbWh6LmpwZyIsInNwdSI6MTE0OTg3NTA3LCJzcHVDb2RlIjoiQ0QyMDI1MDkxMTY0NDU5MktTIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM0OTY5ODgwLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjk2Mjc6Q29udHJvbCIsInRyYWNraW5nSWQiOiI2MDc2NDYyMi1jZWZlLTQyMDUtYWEyNC02MTljM2E3YWQ5MzAifQ%3D%3D&activityId=10282&activity_id=10282
2,Knit Round Neckline Contrasting Binding Oversized Long Sleeve Top,Yellow ,Oversized,,Long,42% Acrylic 32% Polyester 25% Polyamide 1% Polypropylene,Solid,,Round Neckline,,,,Daily Casual,Contrasting Binding,,https://img1.shopcider.com/product/1755079074000-riGmBC.jpg,https://www.shopcider.com/goods/knit-round-neckline-contrasting-binding-oversized-long-sleeve-top-114816479?style_id=2192464&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114816479&shopPage=11&shopIndex=3&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B3&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=4&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX1BJTl9UT1AsR0VORVJBTF9IT1QsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM3LjkwLCJzY2VuZSI6IkNBVEVHT1JZX0NPTExFQ1RJT04iLCJza2NGaXJzdEltZyI6IjE3NTUwNzkwNzQwMDAtcmlHbUJDLmpwZyIsInNwdSI6MTE0ODE2NDc5LCJzcHVDb2RlIjoiQ0QyMDI1MDYwMzYyMDQ5NUtTIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM0OTY5ODgwLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjk2Mjc6Q29udHJvbCIsInRyYWNraW5nSWQiOiI2MDc2NDYyMi1jZWZlLTQyMDUtYWEyNC02MTljM2E3YWQ5MzAifQ%3D%3D&activityId=10282&activity_id=10282
3,CIDER Lace Off-shoulder Sweater,Black ,Oversized,,Regular,71% Polyester 18% Acrylic 11% Polyamide,Solid,,Off-shoulder,,,,,,,https://img1.shopcider.com/product/1750652020000-sWJNkH.jpg,https://www.shopcider.com/goods/cider-lace-cropped-sweater-114695993?style_id=2173596&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114695993&shopPage=11&shopIndex=4&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B4&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=5&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX1BJTl9UT1AsR0VORVJBTF9IT1QsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjQyLjkwLCJzY2VuZSI6IkNBVEVHT1JZX0NPTExFQ1RJT04iLCJza2NGaXJzdEltZyI6IjE3NTA2NTIwMjAwMDAtc1dKTmtILmpwZyIsInNwdSI6MTE0Njk1OTkzLCJzcHVDb2RlIjoiQ0QyMDI1MDUxNjYxNzI0MEtTIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM0OTY5ODgwLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjk2Mjc6Q29udHJvbCIsInRyYWNraW5nSWQiOiI2MDc2NDYyMi1jZWZlLTQyMDUtYWEyNC02MTljM2E3YWQ5MzAifQ%3D%3D&activityId=10282&activity_id=10282
4,Knit Wool-blend Off-shoulder Lace Trim Long Sleeve Top,Navy ,Regular,,Regular,51% recycled polyester 43% Polyester 6% Wool,Solid,,Off-shoulder,,,,Daily Casual,Knotted Lace,,https://img1.shopcider.com/product/1758510450000-hthC2B.jpg,https://www.shopcider.com/goods/knit-wool-blend-off-shoulder-lace-trim-long-sleeve-top-114941679?style_id=2206870&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114941679&shopPage=11&shopIndex=5&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B5&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=6&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX1BJTl9UT1AsR0VORVJBTF9IT1QsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM5LjkwLCJzY2VuZSI6IkNBVEVHT1JZX0NPTExFQ1RJT04iLCJza2NGaXJzdEltZyI6IjE3NTg1MTA0NTAwMDAtaHRoQzJCLmpwZyIsInNwdSI6MTE0OTQxNjc5LCJzcHVDb2RlIjoiQ0QyMDI1MDgyNTY0MDAyNktTIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM0OTY5ODgwLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjk2Mjc6Q29udHJvbCIsInRyYWNraW5nSWQiOiI2MDc2NDYyMi1jZWZlLTQyMDUtYWEyNC02MTljM2E3YWQ5MzAifQ%3D%3D&activityId=10282&activity_id=10282
5,Knit Wool-blend Striped Boat Neck Long Sleeve Oversized Top,Green,Oversized,,Long,49% Acrylic 37% Polyamide 8% Polyester 6% Wool,Stripes,,Boat Neck,,,,Daily Casual,,,https://img1.shopcider.com/product/1758534024000-Zh4pDn.jpg,https://www.shopcider.com/goods/knit-wool-blend-striped-boat-neck-long-sleeve-oversized-top-114943665?style_id=2207475&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114943665&shopPage=11&shopIndex=6&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B6&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=7&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouS4iuWNiui6qyIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX1BJTl9UT1AsR0VORVJBTF9IT1QsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM3LjkwLCJzY2VuZSI6IkNBVEVHT1JZX0NPTExFQ1RJT04iLCJza2NGaXJzdEltZyI6IjE3NjA5MzAzMDYwMDAtYlpSR1FYLmpwZyIsInNwdSI6MTE0OTQzNjY1LCJzcHVDb2RlIjoiQ0QyMDI1MDcyOTYzNDQzMEtTIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM0OTY5ODgwLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjk2Mjc6Q29udHJvbCIsInRyYWNraW5nSWQiOiI2MDc2NDYyMi1jZWZlLTQyMDUtYWEyNC02MTljM2E3YWQ5MzAifQ%3D%3D&activityId=10282&activity_id=10282
6,Knit Asymmetrical Neck Poncho Long Sleeve Top,Gray ,Oversized,,Long,42% Acrylic 30% Polyamide 28% Polyester,Solid,,Asymmetrical Neck,,,,Daily Casual,Asymmetrical Button,,https://img1.shopcider.com/product/1755157044000-b7pxdZ.jpg,https://www.shopcider.com/goods/knit-asymmetrical-neck-poncho-long-sleeve-top-114882417?style_id=2199071&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114882417&shopPage=11&shopIndex=7&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B7&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=8&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX1BJTl9UT1AsR0VORVJBTF9IT1QsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM3LjkwLCJzY2VuZSI6IkNBVEVHT1JZX0NPTExFQ1RJT04iLCJza2NGaXJzdEltZyI6IjE3NTUxNTcwNDQwMDAtYjdweGRaLmpwZyIsInNwdSI6MTE0ODgyNDE3LCJzcHVDb2RlIjoiQ0QyMDI1MDYxMTYyMTkyMUtTIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM0OTY5ODgwLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjk2Mjc6Q29udHJvbCIsInRyYWNraW5nSWQiOiI2MDc2NDYyMi1jZWZlLTQyMDUtYWEyNC02MTljM2E3YWQ5MzAifQ%3D%3D&activityId=10282&activity_id=10282
7,High Neck Solid Knitted Long Sleeve Crop Sweater,Green,Regular,,Crop,100% Polyester,Solid,,High Neck,,,,,,,https://img1.shopcider.com/product/1726743927000-YDCshT.jpg,https://www.shopcider.com/goods/high-neck-solid-knitted-long-sleeve-sweater-101112636?style_id=1154657&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=101112636&shopPage=11&shopIndex=8&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B8&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=9&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX1BJTl9UT1AsR0VORVJBTF9IT1QsUElOX1RPUCIsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjM0LjkwLCJzY2VuZSI6IkNBVEVHT1JZX0NPTExFQ1RJT04iLCJza2NGaXJzdEltZyI6IjE2OTk5NDgzNjgwMDAtZkVrV0RDLmpwZyIsInNwdSI6MTAxMTEyNjM2LCJzcHVDb2RlIjoiQ0QyMDIzMDYwODMyNzcyMktTIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM0OTY5ODgwLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjk2Mjc6Q29udHJvbCIsInRyYWNraW5nSWQiOiI2MDc2NDYyMi1jZWZlLTQyMDUtYWEyNC02MTljM2E3YWQ5MzAifQ%3D%3D&activityId=10282&activity_id=10282
8,Knit Wool-blend Boat Neck Striped Oversized Sweater,Black ,Oversized,,Regular,58% Polyester 30% Acrylic 10% Wool 2% Elastane,Stripes,,Boat Neck,,,,Daily Casual,,,https://img1.shopcider.com/product/1728708638000-5xdRif.jpg,https://www.shopcider.com/goods/knit-wool-blend-boat-neck-striped-oversized-sweater-113935191?style_id=2062428&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=113935191&shopPage=11&shopIndex=13&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B13&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=14&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsRFNTTV9TSU1JTEFSLEdFTkVSQUxfSE9ULFNXSU5HIiwib3JpZ2luYWxQcmljZSI6MzcuOTAsInByb2R1Y3RQcmltYXJ5SW1hZ2VGbGFnIjp0cnVlLCJzYWxlUHJpY2UiOjI4LjQzLCJzY2VuZSI6IkNBVEVHT1JZX0NPTExFQ1RJT04iLCJza2NGaXJzdEltZyI6IjE3Mjg3MDg2MzgwMDAtNXhkUmlmLmpwZyIsInNwdSI6MTEzOTM1MTkxLCJzcHVDb2RlIjoiQ0QyMDI0MDkxMjU0OTk3OUtTIiwic3RyYXRlZ3lOYW1lIjoicmVjb19yZXFfdGltZToxNzYzMDM0OTY5ODgwLXJlY29fcmVyYW5rX2Rpc2NvdW50X2RpdmVyc2l0eTpiYXNlLXJlY29fc29ydF93ZWlnaHRfYnlfY2xpY2tfbGVuX2hvdF9jb2xsZWN0aW9uOi1yZWNvX3JhbmtfZGVlcF9mbV9wMjpiYXNlMy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF91c18yMDI1MDkwODpiYXNlXzExMDctcmVjb19yZXJhbmtfbG9jYWxfYm9vc3Rfbm9ydGhfMjAyNTA5MjI6YmFzZS1hbGxfdXNlcl9leHA6ZXhwLWNvbGxlY3Rpb25JZDoxMjk2Mjc6Q29udHJvbCIsInRyYWNraW5nSWQiOiI2MDc2NDYyMi1jZWZlLTQyMDUtYWEyNC02MTljM2E3YWQ5MzAifQ%3D%3D&activityId=10282&activity_id=10282
9,Knit Asymmetrical Neck Striped Sweater,Burgundy,Regular,,Crop,49% Viscose 30% Polyester 21% Polyamide,Stripes,,Asymmetrical Neck,,,,School Work,Asymmetrical,,https://img1.shopcider.com/product/1756303336000-7kyFkn.jpg,https://www.shopcider.com/goods/knit-asymmetrical-neck-striped-top-114848389?style_id=2195788&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=114848389&shopPage=11&shopIndex=14&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B14&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=15&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6IiIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QsU1dJTkciLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6ZmFsc2UsInNhbGVQcmljZSI6MzIuOTAsInNjZW5lIjoiQ0FURUdPUllfQ09MTEVDVElPTiIsInNrY0ZpcnN0SW1nIjoiMTc1ODE3NzYxMDAwMC1wZzgybXAucG5nIiwic3B1IjoxMTQ4NDgzODksInNwdUNvZGUiOiJDRDIwMjUwNzE2NjMwNjEwS1MiLCJzdHJhdGVneU5hbWUiOiJyZWNvX3JlcV90aW1lOjE3NjMwMzQ5Njk4ODAtcmVjb19yZXJhbmtfZGlzY291bnRfZGl2ZXJzaXR5OmJhc2UtcmVjb19zb3J0X3dlaWdodF9ieV9jbGlja19sZW5faG90X2NvbGxlY3Rpb246LXJlY29fcmFua19kZWVwX2ZtX3AyOmJhc2UzLXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X3VzXzIwMjUwOTA4OmJhc2VfMTEwNy1yZWNvX3JlcmFua19sb2NhbF9ib29zdF9ub3J0aF8yMDI1MDkyMjpiYXNlLWFsbF91c2VyX2V4cDpleHAtY29sbGVjdGlvbklkOjEyOTYyNzpDb250cm9sIiwidHJhY2tpbmdJZCI6IjYwNzY0NjIyLWNlZmUtNDIwNS1hYTI0LTYxOWMzYTdhZDkzMCJ9&activityId=10282&activity_id=10282
10,Knit V-neck Solid Lace Trim Wrap Long Sleeve Top,White ,Regular,,Regular,77% Polyester 13% Acrylic 10% Polyamide,Solid,,V-neck,,,,Daily Casual,Lace Wrap,,https://img1.shopcider.com/product/1728474127000-8GnaTd.jpg,https://www.shopcider.com/goods/knit-v-neck-solid-lace-hem-long-sleeve-top-113941585?style_id=2059948&ciderListName=Sweaters&selectSkuIndex=0&moduleTitle=1&p=113941585&shopPage=11&shopIndex=15&navTitle=&navId=&listSource=activity-10282%3Bproduct-waterfall%3B15&listId=129627&listAttribute=&operationContent=&operationImage=&linkUrl=&operationpageTitle=&operationPosition=&operationType=&productPosition=16&strategyNameList=&businessTracking=eyJmaXJzdEltYWdlVHlwZSI6Iuato%20mdouWbviIsIml0ZW1UeXBlIjowLCJsaXN0SWQiOjEyOTYyNywibGlzdFRpdGxlIjoiU3dlYXRlcnMiLCJsaXN0VHlwZSI6MiwibW9kdWxlSWQiOjMsIm1vZHVsZVR5cGUiOiJDT0xMRUNUSU9OX09GRkxJTkUsR0VORVJBTF9IT1QsU1dJTkciLCJwcm9kdWN0UHJpbWFyeUltYWdlRmxhZyI6dHJ1ZSwic2FsZVByaWNlIjozMi45MCwic2NlbmUiOiJDQVRFR09SWV9DT0xMRUNUSU9OIiwic2tjRmlyc3RJbWciOiIxNzI4NDc0MTI3MDAwLThHbmFUZC5qcGciLCJzcHUiOjExMzk0MTU4NSwic3B1Q29kZSI6IkNEMjAyNDA3MTg1MTQ3NzhLUyIsInN0cmF0ZWd5TmFtZSI6InJlY29fcmVxX3RpbWU6MTc2MzAzNDk2OTg4MC1yZWNvX3JlcmFua19kaXNjb3VudF9kaXZlcnNpdHk6YmFzZS1yZWNvX3NvcnRfd2VpZ2h0X2J5X2NsaWNrX2xlbl9ob3RfY29sbGVjdGlvbjotcmVjb19yYW5rX2RlZXBfZm1fcDI6YmFzZTMtcmVjb19yZXJhbmtfbG9jYWxfYm9vc3RfdXNfMjAyNTA5MDg6YmFzZV8xMTA3LXJlY29fcmVyYW5rX2xvY2FsX2Jvb3N0X25vcnRoXzIwMjUwOTIyOmJhc2UtYWxsX3VzZXJfZXhwOmV4cC1jb2xsZWN0aW9uSWQ6MTI5NjI3OkNvbnRyb2wiLCJ0cmFja2luZ0lkIjoiNjA3NjQ2MjItY2VmZS00MjA1LWFhMjQtNjE5YzNhN2FkOTMwIn0%3D&activityId=10282&activity_id=10282
